fips,population,population_density,median_household_income,unemployment_rate,pct_college_educated,ag_employment_share
48203,69098,76.77,63427,0.0608,0.222,0.0433
48205,5369,3.67,78065,0.015,0.2528,0.1979
48207,5408,5.99,52786,0.0628,0.2016,0.1269
48209,245351,362.49,79990,0.0509,0.4036,0.009
48211,3371,3.72,67798,0.0406,0.233,0.3056
48213,82627,94.56,59778,0.055,0.1905,0.0473
48215,873167,555.82,49371,0.0761,0.2012,0.0316
48217,36138,37.69,60669,0.0449,0.1751,0.0638
48219,21495,23.66,53283,0.0527,0.1719,0.142
48221,62459,148.47,80013,0.0582,0.3165,0.0439
48223,37008,48.22,63766,0.0477,0.216,0.0386
48225,22107,17.96,51043,0.045,0.1478,0.0595
48227,34488,38.29,67243,0.0518,0.1382,0.1559
48229,3329,0.73,35163,0.0817,0.1035,0.1284
48231,101596,120.89,66885,0.0584,0.2133,0.0128
48233,20595,23.21,62211,0.0427,0.1561,0.079
48235,1561,1.48,54708,0.0126,0.1837,0.2432
48237,8588,9.43,58861,0.082,0.1555,0.1123
48239,15010,18.1,67176,0.0553,0.1303,0.1323
48241,33032,35.19,48818,0.1252,0.1224,0.0483
48243,1992,0.88,38125,0.0,0.2785,0.139
48245,254942,290.78,57294,0.054,0.1991,0.0132
48247,4830,4.25,42292,0.0452,0.1275,0.2818
48249,39060,45.15,46626,0.0522,0.1526,0.1169
48251,182690,252.06,77058,0.0349,0.2138,0.0179
48253,19758,21.28,59361,0.0466,0.1116,0.0887
48255,14805,19.8,57798,0.0527,0.1628,0.1056
48257,149773,191.82,84075,0.0491,0.2377,0.0116
48259,45376,68.5,104196,0.0484,0.4851,0.0259
48261,116,0.08,45455,0.0,0.0805,0.5
48263,635,0.7,68553,0.0539,0.2788,0.1295
48265,52810,47.86,66713,0.0333,0.2977,0.0259
48267,4316,3.45,62386,0.0076,0.2786,0.1114
48269,216,0.24,59375,0.0449,0.3063,0.4706
48271,3157,2.32,52386,0.0194,0.1329,0.0297
48273,30860,35.02,52487,0.0752,0.2296,0.0473
48275,3333,3.92,48750,0.0157,0.1416,0.1608
48277,50149,55.27,58246,0.0389,0.2089,0.053
48279,13024,12.82,54519,0.0277,0.1288,0.1314
48281,21829,30.64,73269,0.0532,0.2019,0.0236
48283,6965,4.68,62798,0.0416,0.0542,0.16
48285,20379,21.02,58530,0.0298,0.1956,0.0896
48287,17543,27.89,66448,0.0278,0.1659,0.0386
48289,15928,14.84,57363,0.051,0.1501,0.1283
48291,93523,80.74,59605,0.0694,0.1056,0.0495
48293,22222,24.54,53102,0.0357,0.1686,0.0561
48295,3038,3.26,71625,0.059,0.2473,0.191
48297,11374,10.94,55949,0.0356,0.1356,0.1067
48299,21637,23.16,64241,0.06,0.3181,0.0379
48301,96,0.14,0,0.0,0.0,0.4103
48303,311509,347.82,61911,0.0457,0.3262,0.0241
48305,5619,6.3,52996,0.0358,0.2456,0.1233
48307,7638,7.17,53214,0.0872,0.1855,0.0867
48309,261090,251.86,59781,0.0441,0.2694,0.0101
48311,670,0.59,60313,0.0237,0.1574,0.2267
48313,13556,29.09,65768,0.0626,0.1404,0.1675
48315,9668,25.38,48040,0.1069,0.1626,0.0652
48317,5228,5.71,70217,0.1017,0.1689,0.2137
48319,3959,4.26,77583,0.028,0.3799,0.113
48321,36251,33.17,56412,0.0666,0.2085,0.0582
48323,57806,45.18,48497,0.0714,0.1582,0.0723
48325,51432,38.81,73060,0.0235,0.2218,0.0465
48327,1964,2.18,40945,0.1429,0.2387,0.0705
48329,169393,188.14,90123,0.0341,0.2945,0.1961
48331,25080,24.68,56985,0.0583,0.1824,0.0735
48333,4501,6.02,59315,0.0231,0.2845,0.0659
48335,8947,9.82,49869,0.014,0.096,0.1239
48337,20197,21.7,63336,0.0514,0.1672,0.1104
48339,629989,604.49,95946,0.043,0.3774,0.0463
48341,21284,23.66,59041,0.0246,0.1184,0.1241
48343,11993,47.59,51532,0.0585,0.1354,0.0189
48345,1223,1.24,66528,0.0296,0.2041,0.1489
