fips,dc_employment,dc_employment_growth
27163,115,4.0
27165,3,
27169,7,0.4
27171,19,2.8
28003,21,0.0
28007,0,
28011,0,
28013,0,
28019,0,
28025,0,
28029,0,
28033,11,2.6667
28035,9,0.8
28037,0,
28043,0,
28045,20,2.3333
28047,22,-0.0435
28049,45,2.0
28059,13,
28061,0,
28065,0,
28067,4,
28071,10,0.4286
28073,3,
28075,34,
28081,461,-0.325
28083,10,0.4286
28085,0,
28087,33,1.0625
28089,266,0.6943
28091,0,
28093,0,
28099,0,
28101,0,
28105,18,3.5
28109,3,
28113,6,1.0
28117,0,
28121,14,2.5
28123,0,
28127,0,
28135,0,
28139,0,
28141,0,
28149,6,
28151,0,
29001,0,
29003,0,
29007,8,
29009,0,
29013,0,
29019,46,3.6
29021,25,5.25
29023,141,1.6604
29025,9,0.5
29029,57,0.4615
29031,36,-0.0769
29033,0,
29035,0,
29037,21,4.25
29039,4,
29043,6,
29047,171,0.6602
29049,0,
29051,451,-0.2545
29055,0,
29059,0,
29061,0,
29065,0,
29067,0,
29069,3,0.0
29071,68,1.0606
29073,0,
29075,0,
29077,457,-0.2161
29091,0,
29093,0,
29095,2788,0.2633
29097,14,3.6667
29099,19,5.3333
29101,3,0.0
29103,0,
29109,0,
29115,0,
29117,0,
29119,0,
29121,18,2.0
29123,0,
29125,0,
29127,0,
29129,0,
29131,0,
29133,0,
29135,0,
29139,14,0.75
29141,5,0.25
29145,5,
29149,0,
29153,0,
29159,9,-0.4
29161,4,0.3333
29165,211,-0.3701
29167,0,-1.0
29169,17,0.7
29175,0,
29177,0,
29183,4557,0.47
29185,0,
29186,0,
29187,13,0.0833
29189,4359,-0.0474
29201,9,0.125
29211,0,
29213,13,-0.0714
29215,0,
29219,4,0.3333
29221,0,
29223,3,
29225,26,0.7333
29510,534,1.5797
30009,0,
30013,18,0.2857
30017,0,
30021,0,
30023,0,
30025,0,
30027,0,
30029,31,2.1
30031,128,0.3763
30035,0,
30041,0,
30043,0,
30047,10,-0.7727
30049,113,-0.5252
30053,0,
30057,0,
30061,0,
30063,30,-0.4915
30067,0,
30073,0,
30081,20,1.0
30083,0,
30085,0,
30087,0,
30093,10,
30099,0,
30105,0,
30111,37,0.9474
31015,0,
31019,13,1.1667
31025,0,
31027,0,
31029,0,
31031,0,
31033,0,
31035,0,
31043,0,
31049,0,
31053,5,0.6667
31055,1218,-0.5929
31059,0,
31065,0,
31079,6,
31081,3,
31083,0,
31089,0,
31095,0,
31101,0,
31109,422,0.8924
31111,0,
31119,12,1.0
31131,0,
31137,0,
31141,0,
31145,0,
31153,88,-0.102
31155,0,
31157,9,0.125
31159,4,
31167,0,
31175,0,
31177,72,-0.5556
31181,0,
32001,62,0.3478
32003,2084,0.7797
32005,30,0.3043
32019,3,-0.25
32029,153,-0.0437
32031,594,-0.1818
32510,19,0.0556
33001,12,0.0909
33003,5,
33005,37,
33007,4,
33009,92,0.2603
33011,959,1.2618
33013,36,0.0
33015,585,1.0599
33017,19,-0.9379
33019,4,0.3333
34001,42,0.3548
34003,2779,0.1545
34005,298,-0.0745
34007,85,-0.2797
34009,23,
34011,152,-0.0843
34013,4564,13.6752
34015,74,1.5517
34017,2899,0.5964
34019,20,-0.5349
34021,306,-0.3818
34023,1266,-0.1072
34025,681,-0.227
34027,548,-0.5848
34029,168,-0.0968
34031,645,1.1217
34035,1374,1.2599
34037,38,0.52
34039,351,0.918
34041,313,8.7812
35001,435,1.3387
35003,0,
35005,5,
35006,15,1.1429
35007,0,
35009,14,0.75
35013,104,6.4286
35015,10,
35017,3,
35023,6,1.0
35025,3,
35027,3,0.0
35028,29,3.1429
35029,0,
35031,10,
35035,11,2.6667
35037,0,
35039,6,0.2
35041,3,
35043,75,0.4706
35045,26,7.6667
35047,0,
35049,74,2.5238
35051,3,
35053,0,
35055,15,1.5
35059,0,
35061,134,0.2072
36001,842,-0.1486
36005,801,5.3571
36007,254,-0.0522
36009,0,
36011,23,
36013,0,
36015,0,
36019,16,1.6667
36021,4,1.0
36027,220,-0.144
36029,1724,2.7155
36039,9,0.8
36043,0,
36045,28,0.2174
36047,972,1.4733
36049,0,
36051,0,
36053,0,
36055,482,-0.2607
36057,0,
36059,1211,-0.2611
36061,17358,0.5156
36063,14,-0.5484
36065,19,0.9
36067,291,-0.1019
36069,191,-0.1239
36071,165,2.6667
36073,0,
36075,4,
36079,28,0.2174
36081,543,0.5971
36083,69,-0.54
36085,28,-0.9247
36087,182,0.3285
36089,65,-0.0441
36091,149,0.6932
36093,29,1.0714
36099,0,
36101,5,-0.375
36103,1069,0.2681
36105,6,
36107,4,0.0
36109,23,0.7692
36111,100,-0.2754
36113,18,0.8
36115,0,
36117,3,0.0
36119,1141,-0.1774
36121,0,
37001,70,-0.5333
37009,0,
37017,0,
37019,10,2.3333
37021,353,1.5766
37023,6,
37025,96,1.6667
37027,18,0.2857
37031,5,0.25
37033,0,
37035,476,5.1026
37037,37,-0.9
37039,47,3.7
37045,388,0.289
37047,0,
37049,12,0.0
37051,39,0.2581
37053,4,
37055,4,0.0
37057,8,
37059,0,
37063,777,0.774
37065,7,
37067,224,0.1089
37069,12,3.0
37071,58,18.3333
37077,98,23.5
37081,857,0.6771
37085,10,0.4286
37087,20,1.8571
37089,9,-0.1
37093,4,
37097,66,2.3
37099,26,-0.2571
37101,42,1.8
37105,11,
37109,5,-0.5455
37113,4,-0.8095
37115,3,-0.4
37117,45,-0.0217
37119,2874,0.0813
37123,69,0.0
37125,46,0.6429
37127,14,-0.8313
37129,250,4.3191
37133,10,-0.6429
37135,296,2.4419
37137,5,0.6667
37139,16,-0.7612
37141,7,0.4
37147,15,-0.4444
37151,15,
37153,0,
37155,0,
37157,34,0.0303
37161,82,0.0789
37167,0,
37169,0,
37171,4,
37175,0,
37179,69,3.3125
37183,4464,0.3782
37185,0,
37189,6,0.0
37191,0,-1.0
37193,6,
37195,0,-1.0
37199,5,-0.1667
38003,0,
38009,0,
38015,20,5.6667
38017,136,-0.6642
38021,0,
38035,13,0.8571
38043,0,
38045,0,
38053,0,
38055,6,
38057,3,
38059,11,-0.7556
38071,0,
38077,6,
38079,0,
38089,0,
38093,58,
38097,0,
38101,23,
38105,22,
39001,0,
39003,24,2.0
39005,11,-0.2143
39007,11,2.6667
39009,16,1.0
39011,0,
39013,0,
39017,99,0.8
39019,8,1.0
39023,15,2.0
39025,52,1.8889
39027,463,-0.192
39029,0,
39031,0,
39033,0,
39035,3034,0.8903
39039,5,0.6667
39041,186,0.3881
39043,24,-0.5636
39045,10,1.0
39047,0,
39049,3884,0.3153
39051,0,
39053,0,
39055,47,0.0444
39057,141,-0.2843
39059,0,
39061,1322,-0.0617
39063,0,
39065,0,
39067,3,0.0
39069,0,
39071,3,
39073,5,0.25
39077,113,0.6143
39079,0,
39081,5,
39083,5,
39085,79,2.95
39089,47,-0.2985
39091,0,
39093,66,3.4
39095,199,-0.2519
39097,3,-0.25
39099,158,-0.2752
39101,0,
39103,41,-0.1277
39105,0,
39107,3,
39109,15,1.1429
39111,0,
39113,274,0.3498
39117,0,
39119,3,
39123,4,
39129,27,0.125
39133,109,0.9123
39135,0,
39137,0,
39139,98,23.5
39141,0,
39143,17,0.3077
39145,0,
39147,8,0.3333
39149,5,
39151,66,0.5714
39153,473,-0.054
39155,72,4.1429
39157,0,
39159,5,0.6667
39161,0,
39165,226,3.6122
39167,5,-0.2857
39169,28,0.8667
39171,0,-1.0
39173,104,2.4667
39175,0,
40001,0,
40007,0,
40009,0,
40013,224,5.5882
40017,48,2.6923
40019,0,
40021,0,
40027,52,3.7273
40031,29,-0.9251
40037,16,
40039,0,
40041,11,
40047,6,
40051,0,
40055,0,
40065,0,
40071,16,1.2857
40073,0,
40077,0,
40079,7,
40081,0,
40083,6,
40085,0,
40087,3,
40089,0,
40091,0,
40097,5,-0.375
40101,17,
40105,0,
40109,914,0.9042
40111,0,
40113,0,
40115,0,
40117,0,
40119,19,3.75
40121,3,
40125,31,0.069
40129,0,
40131,12,2.0
40133,0,
40135,0,
40137,0,
40139,0,
40143,416,0.0297
40145,8,1.6667
40147,7,-0.2222
40149,0,
40153,0,
41001,0,
41003,183,4.5455
41005,523,0.2542
41007,5,0.0
41009,12,0.7143
41011,0,
41013,401,1.1676
41015,0,
41017,146,2.4762
41019,5,0.25
41025,0,
41027,6,1.0
41029,43,1.15
41031,0,
41033,18,0.0588
41035,3,0.0
41039,94,0.2208
41041,3,
41043,18,2.6
41047,52,-0.9177
41049,752,1.3648
41051,2871,0.3511
41053,9,2.0
41055,0,
41057,0,
41059,975,1.4746
41061,0,
41065,271,0.6626
