fips,approval_prob,beta_alpha,beta_beta
13029,0.7109,28.44,11.56
13031,0.6263,25.05,14.95
13033,0.6811,27.24,12.76
13035,0.6244,24.97,15.03
13037,0.6743,26.97,13.03
13039,0.6859,27.44,12.56
13043,0.3168,12.67,27.33
13045,0.1925,7.7,32.3
13047,0.5294,21.17,18.83
13049,0.5041,20.16,19.84
13051,0.7296,29.19,10.81
13053,0.7526,30.1,9.9
13055,0.7101,28.4,11.6
13057,0.2655,10.62,29.38
13059,0.7484,29.94,10.06
13061,0.487,19.48,20.52
13063,0.4703,18.81,21.19
13065,0.3215,12.86,27.14
13067,0.6402,25.61,14.39
13069,0.3084,12.34,27.66
13071,0.5084,20.34,19.66
13073,0.4802,19.21,20.79
13075,0.5084,20.34,19.66
13077,0.2809,11.24,28.76
13079,0.5041,20.16,19.84
13081,0.4893,19.57,20.43
13083,0.6545,26.18,13.82
13085,0.6198,24.79,15.21
13087,0.421,16.84,23.16
13089,0.7496,29.98,10.02
13091,0.3215,12.86,27.14
13093,0.6774,27.09,12.91
13095,0.6781,27.12,12.88
13097,0.7397,29.59,10.41
13099,0.6743,26.97,13.03
13101,0.3215,12.86,27.14
13103,0.7242,28.97,11.03
13105,0.5084,20.34,19.66
13107,0.4972,19.89,20.11
13109,0.4972,19.89,20.11
13111,0.5048,20.19,19.81
13113,0.2231,8.92,31.08
13115,0.4854,19.42,20.58
13117,0.2655,10.62,29.38
13119,0.5084,20.34,19.66
13121,0.4671,18.68,21.32
13123,0.4718,18.87,21.13
13125,0.3168,12.67,27.33
13127,0.6668,26.67,13.33
13129,0.3608,14.43,25.57
13131,0.3271,13.08,26.92
13133,0.6869,27.48,12.52
13135,0.483,19.32,20.68
13137,0.2696,10.79,29.21
13139,0.5193,20.77,19.23
13141,0.6994,27.98,12.02
13143,0.4141,16.56,23.44
13145,0.7399,29.6,10.4
13147,0.5084,20.34,19.66
13149,0.6565,26.26,13.74
13151,0.6777,27.11,12.89
13153,0.7568,30.27,9.73
13155,0.5084,20.34,19.66
13157,0.6573,26.29,13.71
13159,0.5084,20.34,19.66
13161,0.3168,12.67,27.33
13163,0.4919,19.68,20.32
13165,0.4929,19.72,20.28
13167,0.5041,20.16,19.84
13169,0.1647,6.59,33.41
13171,0.6565,26.26,13.74
13173,0.3215,12.86,27.14
13175,0.4343,17.37,22.63
13177,0.457,18.28,21.72
13179,0.7305,29.22,10.78
13181,0.4697,18.79,21.21
13183,0.3192,12.77,27.23
13185,0.7256,29.02,10.98
13187,0.7478,29.91,10.09
13189,0.318,12.72,27.28
13191,0.319,12.76,27.24
13193,0.6743,26.97,13.03
13195,0.7141,28.57,11.43
13197,0.4929,19.72,20.28
13199,0.4848,19.39,20.61
13201,0.4972,19.89,20.11
13205,0.6743,26.97,13.03
13207,0.6891,27.57,12.43
13209,0.4972,19.89,20.11
13211,0.4796,19.18,20.82
13213,0.5084,20.34,19.66
13215,0.7391,29.56,10.44
13217,0.6656,26.62,13.38
13219,0.3605,14.42,25.58
13221,0.3261,13.04,26.96
13223,0.4395,17.58,22.42
13225,0.6908,27.63,12.37
13227,0.6793,27.17,12.83
13229,0.3168,12.67,27.33
13231,0.4625,18.5,21.5
13233,0.6565,26.26,13.74
13235,0.3215,12.86,27.14
13237,0.7107,28.43,11.57
13239,0.7305,29.22,10.78
13241,0.5676,22.71,17.29
13243,0.6743,26.97,13.03
13245,0.5257,21.03,18.97
13247,0.7556,30.23,9.77
13249,0.3168,12.67,27.33
13251,0.4938,19.75,20.25
13253,0.4972,19.89,20.11
13255,0.7192,28.77,11.23
13257,0.5128,20.51,19.49
13259,0.6743,26.97,13.03
13261,0.6743,26.97,13.03
13263,0.6897,27.59,12.41
13265,0.539,21.56,18.44
13267,0.4972,19.89,20.11
13269,0.4929,19.72,20.28
13271,0.3215,12.86,27.14
13273,0.6743,26.97,13.03
13275,0.4999,20.0,20.0
13277,0.3608,14.43,25.57
13279,0.4972,19.89,20.11
13281,0.6974,27.9,12.1
13283,0.5041,20.16,19.84
13285,0.2306,9.22,30.78
13287,0.5046,20.18,19.82
13289,0.1739,6.96,33.04
13291,0.7073,28.29,11.71
13293,0.5054,20.22,19.78
13295,0.5687,22.75,17.25
13297,0.6162,24.65,15.35
13299,0.3156,12.62,27.38
13301,0.6774,27.09,12.91
13303,0.4995,19.98,20.02
13305,0.4972,19.89,20.11
13307,0.4988,19.95,20.05
