fips,county,state,facility_count,total_mw,avg_project_mw,hyperscaler_share,binary_outcome,saturation_count,pushback_flag,state_incentive_score,dc_employment,dc_employment_growth,water_stress_decile,partisan_lean_r,population,population_density,median_household_income,unemployment_rate,pct_college_educated,ag_employment_share,electricity_price,log_population,log_income,log_dc_employment,water_stress_x_density
27049,Goodhue,MN,1,1200.0,1200.0,0.0,,0,1,0.75,0,0.0,3.0,0.5726361928616155,47697,63.03,78338,0.0396,0.2779,0.0488,14.07,10.772644747276225,11.268800842267275,0.0,0.18909
27101,Murray,MN,1,0.0,500.0,0.0,,0,0,0.75,0,0.0,5.0,0.7036803364879075,8170,11.59,71500,0.0296,0.2158,0.1248,14.07,9.008346579384707,11.177466714598282,0.0,0.05795
27137,St. Louis,MN,1,0.0,500.0,0.0,0.0,0,1,0.75,74,0.3214,4.0,0.422179496909442,200122,32.03,66491,0.0461,0.3167,0.0316,14.07,12.206687456495175,11.10483691865535,4.31748811353631,0.12812
28089,Madison,MS,3,1000.0,1000.0,0.6666666666666666,1.0,1,0,0.75,266,0.6943,2.0,0.5803805420929815,109257,152.94,79105,0.0416,0.4955,0.0094,12.32,11.601467336821527,11.278544004229214,5.58724865840025,0.30588
28121,Rankin,MS,1,116.0,116.0,0.0,1.0,0,1,0.75,14,2.5,8.0,0.7304457648038118,157185,202.69,76460,0.044,0.3274,0.0089,12.32,11.965185096487124,11.244536085898856,2.70805020110221,1.62152
29037,Cass,MO,1,0.0,500.0,0.0,0.0,0,1,0.5,21,4.25,4.0,0.6538675476595817,108205,155.33,82473,0.0452,0.2786,0.0157,12.58,11.591792096722129,11.320238371136947,3.091042453358316,0.6213200000000001
29047,Clay,MO,1,700.0,700.0,1.0,1.0,0,0,0.5,171,0.6602,1.0,0.5204247172524085,253085,636.43,82264,0.0402,0.3495,0.0077,12.58,12.441484630898238,11.317701022820751,5.147494476813453,0.6364299999999999
29095,Jackson,MO,2,1380.0,690.0,0.0,,0,1,0.5,2788,0.2633,2.0,0.3953705044349737,715526,1183.63,65169,0.0486,0.3296,0.0041,12.58,13.48077461311572,11.084754519326426,7.933438387627489,2.3672600000000004
29097,Jasper,MO,1,200.0,200.0,0.0,1.0,0,1,0.5,14,3.6667,5.0,0.7270630255227324,122788,192.31,54963,0.0415,0.2474,0.0121,12.58,11.71822271413573,10.914433704451666,2.70805020110221,0.9615499999999999
29139,Montgomery,MO,2,0.0,500.0,0.0,,0,1,0.5,14,0.75,1.0,0.7965310206804537,11421,21.35,58660,0.0295,0.1599,0.0801,12.58,9.343296599224809,10.979530389777885,2.70805020110221,0.02135
30013,Cascade,MT,1,0.0,500.0,0.0,,0,0,0.5,18,0.2857,7.0,0.5965197030572333,84423,31.29,61351,0.0326,0.276,0.0399,12.24,11.343607000350927,11.024383049444696,2.9444389791664403,0.21903
30093,Silver Bow,MT,1,0.0,500.0,0.0,,0,1,0.5,10,0.0,9.0,0.4449687259958301,35306,49.17,56297,0.0459,0.2766,0.0451,12.24,10.471836523545772,10.938414289518105,2.3978952727983707,0.44253000000000003
30111,Yellowstone,MT,1,0.0,500.0,0.0,,0,0,0.5,37,0.9474,7.0,0.619970266982836,165524,62.85,72300,0.0347,0.3426,0.0276,12.24,12.016877519793047,11.18859323930985,3.6375861597263857,0.43995
31055,Douglas,NE,1,0.0,500.0,0.0,,0,0,0.5,1218,-0.5929,7.0,0.4422738594675259,582638,1785.0,76083,0.0383,0.4123,0.0091,11.56,13.275323062564635,11.239593272072732,7.105786129481271,12.495
32003,Clark,NV,2,595.0,297.5,0.0,1.0,2,0,0.75,2084,0.7797,10.0,0.4781235484468442,2265926,287.13,69911,0.0766,0.2639,0.0036,12.75,14.633494504693704,11.15499258730738,7.642524134232902,2.8713
32019,Lyon County,NV,1,1600.0,1600.0,0.0,,0,0,0.75,3,-0.25,9.0,0.7113979905190663,59435,29.67,70026,0.0715,0.1611,0.0307,12.75,10.992655382376238,11.156636160948578,1.3862943611198906,0.26703000000000005
32029,Storey County,NV,3,2234.0,744.6666666666666,0.0,,0,0,0.75,153,-0.0437,9.0,0.6855284552845529,4095,15.52,86932,0.0699,0.3135,0.0037,12.75,8.317766166719343,11.372892986003347,5.0369526024136295,0.13968
34011,Cumberland,NJ,1,0.0,500.0,0.0,,0,1,0.5,152,-0.0843,6.0,0.5131072738659748,153588,317.75,62310,0.0782,0.1735,0.0294,17.23,11.94203548254793,11.039893254197803,5.030437921392435,1.9065
35005,Chaves,NM,1,1240.0,1240.0,0.0,,0,0,0.5,5,0.0,10.0,0.715945945945946,64701,10.66,49673,0.0527,0.1753,0.0815,13.57,11.077547391912312,10.813236936366861,1.791759469228055,0.1066
35025,Lea County,NM,1,7000.0,7000.0,0.0,,0,0,0.5,3,0.0,10.0,0.8014050638879721,73103,16.65,65855,0.0742,0.146,0.1862,13.57,11.199638363803052,11.095225819193722,1.3862943611198906,0.1665
36027,Dutchess,NY,2,1100.0,550.0,0.0,1.0,0,0,0.5,220,-0.144,2.0,0.4729330838362807,296467,372.61,94578,0.0497,0.3898,0.0107,19.3,12.599694565794497,11.457190743082128,5.3981627015177525,0.74522
36029,Erie,NY,2,1200.0,600.0,0.0,,1,0,0.5,1724,2.7155,1.0,0.4516160335226333,951232,912.25,68014,0.0495,0.3638,0.0046,19.3,13.765514316776263,11.12748354806753,7.45298232946546,0.91225
36037,Genesee County,NY,1,500.0,500.0,0.0,,0,1,0.5,0,0.0,3.0,0.6697574390071922,58204,118.08,68178,0.0473,0.2317,0.0258,19.3,10.971726540682342,11.129891878526543,0.0,0.35424
36063,Niagara,NY,2,140.0,140.0,0.0,1.0,4,1,0.5,14,-0.5484,7.0,0.5746210192330291,212230,406.3,65882,0.0578,0.2703,0.0081,19.3,12.265430583087785,11.095635720595403,2.70805020110221,2.8441
36067,Onondaga,NY,1,300.0,300.0,0.0,,0,0,0.5,291,-0.1019,1.0,0.4135975091491207,472637,607.2,71479,0.0565,0.3694,0.0042,19.3,13.066085046765759,11.177172969273364,5.676753802268282,0.6072000000000001
36089,St. Lawrence,NY,3,676.0,225.33333333333334,0.0,0.0,0,0,0.5,65,-0.0441,1.0,0.5900202599649434,108670,40.56,58339,0.0627,0.2348,0.0327,19.3,11.59608024818627,10.974043243421713,4.189654742026425,0.04056
36103,Suffolk,NY,1,0.0,500.0,0.0,,0,0,0.5,1069,0.2681,9.0,0.5498689029328606,1524486,1673.1,122498,0.0476,0.3903,0.004,19.3,14.23716851798806,11.715858145668292,6.975413927455952,15.0579
36109,Tompkins County,NY,1,0.0,500.0,0.0,,0,0,0.5,23,0.7692,1.0,0.2469065999782538,102555,216.07,69995,0.0469,0.5749,0.0192,19.3,11.538164269833853,11.156193376541639,3.1780538303479458,0.21606999999999998
36119,Westchester,NY,1,200.0,200.0,0.0,,0,0,0.5,1141,-0.1774,2.0,0.3685947072791935,997904,2316.81,114651,0.0604,0.5176,0.0027,19.3,13.813413360381947,11.649656732529886,7.040536390215956,4.63362
37065,Edgecombe,NC,1,900.0,900.0,0.0,,0,1,0.75,7,0.0,7.0,0.3831503931847969,49067,97.08,46370,0.0862,0.1775,0.0177,12.14,10.800962370152643,10.744429542820429,2.0794415416798357,0.6795599999999999
37119,Mecklenburg,NC,1,400.0,400.0,0.0,,0,1,0.75,2874,0.0813,9.0,0.327308477388923,1115403,2130.24,79265,0.0452,0.4778,0.0025,12.14,13.924727229088592,11.28056456410641,7.963807953231451,19.172159999999995
37157,Rockingham,NC,1,0.0,500.0,0.0,,0,0,0.75,34,0.0303,8.0,0.6758061908995393,91209,161.25,50737,0.0648,0.1544,0.0105,12.14,11.420919819174204,10.834430415742597,3.5553480614894135,1.29
